Label(number),Label,Text
2,joy,Till date  has been a great inspiration to me and my family. For a start I deposited $800 and after a week I got $7 800 return. Her accuracy and reliability can’t be compromised
0,anger, when you give up on snowboarding you should get a mountain bike.
6,trust,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha love it
1,fear,.loeke arrête de faire le con avec notre Moterra...😜
4,surprise,NGL I thought they had us in the first half... 😂
2,joy,He used his skills on that hand clapping😂
1,fear, le fameux dimanche matin à Montaigu😂
2,joy,YES!!! #freeridemtb #alldayeveryday
0,anger,Kkkkkk trolado nível hard 😂😂 
2,joy,A bike sempre se vinga 😂😂😂😂
3,sadness,.guzmanc30 en la doble 😎👊🏻
3,sadness,Cook komikk ammina foduklarim
2,joy,Who sings this song please???
2,joy,I could land it... headfirst
4,surprise, ik zie je al gaaaaaaaaan!
7,disgust,Not that high 😂😍👏🔥🔥🔥
3,sadness,.downhill  nachgemacht 😛
6,trust,That's all I want in life
7,disgust,this song fucking sucks
4,surprise,Sheeeeessshhhhh 😂😂😂
1,fear,I need first one absolute vodka please help mewith the price and link
2,joy,Price of grenade and marshmallow cover of airpord pro
2,joy,Hello do you have any dog case for airpods pro?
6,trust,Mujhe AirPod pro ka Rambo cover chahiye
1,fear,How much and are you in Lagos pls ?
4,surprise,How much is the Starbucks one ?
6,trust,Pffff air pod max is better
4,surprise,How much theese cute cases
4,surprise,Price for airpods pro case
2,joy,Pp for the sneakers one
7,disgust,👏 Well said! I would say that it’s specifically the high-mode throttle that requires respect. The low-mode setting makes it very easy to control for all levels of riding.
4,surprise,Skitnajs! Men jag vill att ni sätter högre riser på Kalkmodellens styre man sitter lite ihopkrupen på den har jag sett på stan annars fett jobbat vilket driv ni har! 🙌
6,trust,Love the bikes and I look forward to riding one someday.  Have you thought About using belt instead of a chain for the final drive?
2,joy,🙌 perfect for my treks with the large format camera massive tripod and gear... was considering an electric cargo bike but now 🤔
6,trust,I would absolutely love one of these bikes and probably have one if the price tag wasn't so outta control here in Australia
6,trust,I'd love to take some photos of that beauty. I hope someday I'll own one❤️ you have created a great machine 😍😍
6,trust,I don’t know what’s cooler the story or the bikes—probably the story... Those bikes are pretty sexy tho
6,trust,Awesome! On behalf of the animals thanks! Please Keep us posted with stories on these save animals
3,sadness,Well for that it would be good to have b2b pro pricings and not b2c prices for professionals...
2,joy,Solar panels would also be good to charge them and provide power to any nearby communities
1,fear,I filled out a few requests for financing on your website and never got an answer back
0,anger,The throttle on ‘speed 3’ is insane & easily on the level of any gas-powered bike!
4,surprise,How much for one for these ? Rather this then a sur Ron. Please message back🙂
4,surprise,Optisch so gelungen! Nur schade das man sich das zurzeit nicht leisten kann.
4,surprise,Wow! This looks so cool got my fingers crossed one day I'll be riding one!
3,sadness,Let me know when you’re looking for a representative in western Canada eh?!
7,disgust,I respect your initiatives to stop poaching but cmon $25 000 for an ebike?
1,fear,That's the ugliest ebike yet. Alta got this company beat by a HUGE margin
4,surprise,Will this version of the bush bike be available to the general public? 😍
1,fear,If they need any help “neutralizing poachers” I’ll book my own flight. ☠️
2,joy,That is bad ass.  And I love the purpose .. help save these animals
3,sadness,The is huge and much needed contribution by  to help #stoppoaching
7,disgust,So the quiet bikes allow poachers to sneak up on the animals? 😮😢
2,joy,Amazing! Well done 👏🏼  Does this mean you’ll be shipping to SA?
4,surprise,Jag bor i Bilbao. Skulle kunna hjälpa er här i norra Spanien 👍
3,sadness,Will it be able to carry a Kalk Charge inverter comfortably?😏
6,trust,Working on aircraft grade carbon fiber racks 🔥🔥 stay tuned
6,trust,Love those news⭐️ Maybe the most important way to use Cake!
2,joy,Im saving to celebrate my bday with a real Cake this yr!👏
7,disgust,Chunky tires! Are they wider then on normal Kalk bikes?
2,joy,I rode one. Keep up the good work and I might buy one.
3,sadness,Nice i want to see your bikes in Venezuela's roads🔥
2,joy,🔥  meets  meets    “match in heaven”  👏   👏  🔥
0,anger,Lower the prices so people can actually afford it
4,surprise,I would look 👀 so good in an orange jumper !! 🔥
4,surprise,This is the best looking one I’ve seen. Just wow
4,surprise, kolla in dessa lirare hur coola är inte dom?
3,sadness,  follows you why are you not following back 🙄
6,trust,Would love to try one of your amazing bikes 😍
2,joy,Hope my bikes not stuck on the Suez Canal 🥲🥲
1,fear,OMG!!!🔥🔥🔥🔥🔥🔥 You guys absolutely rule!
2,joy,Very smart solution to this problem 🔥🔥🙌🙌
3,sadness,Would love to have a bike like this damn🔥
2,joy,Color scheme and purpose on point! 👌🏻🤙🏻
2,joy,AMAZING!!! Beautiful bikes and project 😍❤️
4,surprise,Ughhhh just PLEASE do a giveaway already!!!
